Datum;Exportación;Importación;Producción Industrial;Por Mayor;Consumidor
2007-12;0,0;0,0;0,0;0,0;0,0
2008-01;1,4;4,1;2,7;7,4;2,8
2008-02;1,7;4,8;3,2;6,6;2,9
2008-03;1,6;4,7;3,8;7,8;3,1
2008-04;1,6;4,7;4,6;7,4;2,4
2008-05;2,0;6,7;5,2;8,0;3,0
2008-06;2,3;7,9;6,1;8,7;3,2
2008-07;2,8;8,5;8,3;10,0;3,3
2008-08;2,8;8,2;7,5;6,8;3,1
2008-09;2,6;7,2;7,9;5,2;2,9
2008-10;1,8;2,9;7,4;2,9;2,5
2008-11;1,1;-0,6;4,7;-1,7;1,4
2008-12;0,0;-4,1;4,1;-4,1;1,0
2009-01;-0,9;-5,7;1,9;-5,9;0,9
2009-02;-1,4;-6,8;0,8;-5,6;1,0
2009-03;-1,8;-7,6;-0,4;-8,0;0,5
2009-04;-2,0;-9,0;-2,7;-8,1;0,7
2009-05;-2,5;-10,8;-3,6;-9,0;0,1
2009-06;-2,9;-11,7;-4,6;-8,9;0,1
2009-07;-3,6;-13,1;-7,8;-10,6;-0,5
2009-08;-3,4;-11,3;-6,9;-8,3;0,1
2009-09;-3,2;-11,5;-7,5;-8,2;-0,3
2009-10;-2,5;-8,2;-7,5;-7,1;0,0
2009-11;-1,8;-5,0;-5,8;-3,1;0,3
2009-12;-0,3;-1,0;-5,3;0,1;0,9
2010-01;0,3;1,4;-3,4;1,8;0,8
2010-02;0,8;2,4;-2,9;2,1;0,6
2010-03;1,9;4,4;-1,9;4,3;1,3
2010-04;2,5;7,2;0,5;5,8;1,3
2010-05;3,1;8,0;1,0;6,0;1,3
2010-06;3,6;8,6;1,7;5,0;0,9
2010-07;3,7;9,2;3,5;5,1;1,0
2010-08;3,8;7,9;3,0;5,5;0,9
2010-09;4,1;9,2;3,8;6,5;1,3
2010-10;3,8;8,2;4,1;6,5;1,3
2010-11;4,2;8,6;4,1;6,4;1,5
2010-12;4,6;10,3;5,0;7,8;1,4
2011-01;4,8;9,8;5,3;7,4;1,6
2011-02;4,6;9,9;6,2;8,3;1,9
2011-03;4,3;9,5;6,3;8,4;1,9
2011-04;3,8;7,7;6,2;7,0;1,9
2011-05;3,4;6,3;5,7;6,4;1,9
2011-06;2,9;4,9;5,2;6,2;2,0
2011-07;3,0;5,6;5,3;6,3;2,2
2011-08;2,7;5,0;5,2;5,1;2,2
2011-09;2,6;5,2;5,0;4,6;2,4
2011-10;2,7;5,5;4,9;4,0;2,4
2011-11;2,4;5,2;4,7;3,9;2,4
2011-12;2,0;3,6;3,5;2,5;1,9
2012-01;1,9;3,5;2,9;2,6;2,1
2012-02;2,0;3,4;2,5;2,4;2,1
2012-03;1,7;2,8;2,6;1,7;2,1
2012-04;1,8;2,3;1,9;2,0;2,0
2012-05;1,6;2,5;1,6;1,6;1,9
2012-06;1,4;1,5;1,0;1,0;1,7
2012-07;1,5;1,4;0,6;1,3;1,8
2012-08;1,8;3,0;1,2;2,2;2,1
2012-09;1,7;1,8;1,3;3,0;2,1
2012-10;1,6;1,4;1,1;3,2;2,0
2012-11;1,6;0,9;1,2;2,2;1,9
2012-12;1,1;0,0;1,5;2,2;2,0
2013-01;0,4;-1,3;1,6;1,4;1,7
2013-02;0,0;-1,7;1,0;0,6;1,5
2013-03;0,1;-2,2;0,1;-0,1;1,4
2013-04;-0,4;-2,9;-0,2;-0,7;1,1
2013-05;-0,5;-2,9;-0,2;-0,8;1,6
2013-06;-0,7;-2,2;0,1;0,1;1,9
2013-07;-0,9;-2,5;0,0;-0,1;2,0
2013-08;-1,1;-3,4;-0,6;-1,2;1,5
2013-09;-1,1;-2,7;-0,6;-1,7;1,4
2013-10;-1,2;-2,8;-0,8;-1,8;1,2
2013-11;-1,3;-2,7;-0,9;-1,6;1,4
2013-12;-1,0;-2,2;-0,6;-1,3;1,5
2014-01;-0,9;-2,2;-1,2;-1,7;1,3
2014-02;-0,8;-2,6;-1,0;-1,8;1,3
2014-03;-1,1;-3,2;-1,0;-1,7;1,1
2014-04;-0,9;-2,5;-1,0;-1,3;1,4
2014-05;-0,6;-2,1;-0,9;-0,9;0,9
2014-06;-0,1;-1,1;-0,8;-0,9;1,0
2014-07;-0,1;-1,7;-0,8;-0,7;0,9
2014-08;-0,1;-1,9;-0,8;-0,5;0,9
2014-09;0,1;-1,6;-1,1;-0,9;0,9
2014-10;0,3;-1,3;-0,9;-0,7;0,9
2014-11;0,3;-2,1;-0,8;-1,1;0,6
2014-12;0,0;-3,7;-1,7;-2,4;0,1
2015-01;0,4;-4,5;-2,1;-2,6;-0,2
2015-02;0,9;-3,2;-2,0;-2,0;0,0
2015-03;1,5;-1,7;-1,7;-1,1;0,3
2015-04;1,8;-1,1;-1,4;-0,9;0,9
2015-05;1,5;-1,1;-1,2;-0,1;1,2
2015-06;1,4;-1,9;-1,3;-0,1;1,0
2015-07;1,3;-2,0;-1,2;-0,2;0,8
2015-08;0,9;-3,3;-1,6;-0,9;0,7
2015-09;0,3;-4,2;-1,9;-1,5;0,6
2015-10;0,2;-4,3;-2,4;-1,5;0,9
2015-11;0,3;-3,8;-2,6;-1,1;0,2
2015-12;0,2;-3,2;-2,3;-1,0;0,3
2016-01;-0,5;-3,7;-2,3;-1,0;0,5
2016-02;-1,4;-5,6;-2,8;-2,1;0,1
2016-03;-1,8;-5,9;-2,9;-2,9;0,2
2016-04;-2,2;-6,4;-2,9;-3,1;-0,1
2016-05;-1,7;-5,7;-2,5;-2,7;0,2
2016-06;-1,5;-4,6;-2,2;-2,0;0,3
2016-07;-1,5;-4,0;-1,9;-1,7;0,4
2016-08;-1,1;-2,7;-1,6;-1,7;0,4
2016-09;-0,8;-2,2;-1,4;-0,7;0,6
2016-10;-0,2;-0,9;-0,5;0,2;0,7
2016-11;0,1;0,1;0,1;0,4;0,7
2016-12;1,2;3,1;1,0;2,8;1,4
2017-01;1,7;5,2;2,3;3,8;1,6
2017-02;2,4;6,7;3,0;4,9;1,8
2017-03;2,3;5,7;3,2;4,7;1,4
2017-04;2,6;5,7;3,3;4,8;1,7
2017-05;2,1;3,9;2,8;3,0;1,2
2017-06;1,6;2,4;2,5;2,5;1,4
2017-07;1,5;1,8;2,4;2,1;1,5
2017-08;1,4;1,9;2,7;3,0;1,7
2017-09;1,5;2,8;3,2;3,2;1,6
2017-10;1,3;2,4;2,9;2,8;1,4
2017-11;1,1;2,4;2,5;3,4;1,6
2017-12;0,4;0,7;2,3;1,6;1,4
2018-01;0,4;0,6;2,2;1,7;1,4
2018-02;0,1;-0,5;1,8;1,1;1,2
2018-03;0,2;-0,3;1,8;1,3;1,5
2018-04;0,2;0,4;1,9;1,2;1,4
2018-05;1,1;2,9;2,5;2,6;2,1
2018-06;1,5;4,4;2,8;3,5;1,9
2018-07;1,7;4,8;2,9;3,7;1,9
2018-08;2,0;4,8;3,0;3,8;1,9
2018-09;1,9;4,4;3,1;3,6;2,1
2018-10;2,0;4,8;3,2;4,0;2,3
2018-11;1,7;3,0;3,4;3,4;2,1
2018-12;1,3;1,6;2,8;2,6;1,7
2019-01;1,1;0,7;2,6;1,1;1,3
2019-02;1,3;1,6;2,6;1,6;1,4
2019-03;1,3;1,7;2,4;1,8;1,3
2019-04;1,3;1,4;2,5;2,1;1,9
2019-05;0,6;-0,2;1,9;1,7;1,4
2019-06;0,2;-2,0;1,2;0,2;1,6
2019-07;0,2;-2,2;1,0;-0,1;1,6
2019-08;-0,1;-2,7;0,3;-1,2;1,4
2019-09;0,0;-2,5;-0,1;-1,9;1,2
2019-10;-0,2;-3,5;-0,5;-2,3;1,1
2019-11;-0,1;-2,1;-0,7;-2,5;1,0
2019-12;0,4;-0,6;-0,2;-1,4;1,5
2020-01;0,5;-0,8;0,2;0,3;2,1
2020-02;0,3;-2,0;0,0;-0,8;2,0
2020-03;-0,4;-5,5;-0,8;-1,6;1,8
2020-04;-1,0;-7,4;-1,9;-3,5;1,0
2020-05;-1,1;-7,0;-2,2;-4,4;0,8
2020-06;-0,9;-5,1;-1,8;-3,3;0,6
2020-07;-1,0;-4,6;-1,6;-2,6;-0,6
2020-08;-1,0;-4,0;-1,2;-2,1;-0,5
2020-09;-1,0;-4,2;-1,0;-1,8;-0,5
2020-10;-0,9;-3,9;-0,7;-1,9;-0,3
2020-11;-0,5;-3,8;-0,4;-1,7;0,2
2020-12;-0,5;-3,5;0,2;-1,2;-0,2
2021-01;0,1;-1,2;0,9;0,0;1,2
2021-02;0,6;0,9;2,1;1,9;1,5
2021-03;2,0;6,0;3,8;3,5;1,8
2021-04;3,1;9,1;5,6;6,0;2,0
2021-05;4,0;10,1;7,2;7,8;2,2
2021-06;4,8;11,1;8,4;8,4;2,4
2021-07;5,9;12,9;10,0;8,9;3,7
2021-08;6,8;14,0;11,4;9,6;3,8
2021-09;7,5;15,0;12,9;10,3;4,1
2021-10;8,6;18,4;16,1;12,3;4,4
2021-11;9,1;20,2;17,0;13,4;4,8
2021-12;10,0;21,1;20,1;13,2;4,9
2022-01;10,8;22,1;22,9;13,3;4,2
2022-02;11,9;21,7;23,6;13,9;4,3
2022-03;14,5;26,5;28,3;18,9;5,9
2022-04;15,2;26,7;30,7;20,3;6,3
2022-05;14,9;26,5;31,1;20,3;7,0
2022-06;15,0;24,9;30,7;18,6;6,7
2022-07;15,7;24,6;33,0;17,7;6,7
2022-08;16,7;26,7;38,5;17,5;7,0
2022-09;15,0;24,0;38,6;19,3;8,6
2022-10;12,0;18,2;31,7;17,4;8,8
2022-11;10,9;12,3;26,4;15,2;8,8
2022-12;9,8;9,6;21,4;13,3;8,1
2023-01;8,1;5,3;16,4;11,3;8,7
2023-02;6,6;3,1;13,9;9,5;8,7
2023-03;3,3;-3,1;7,5;3,8;7,4
2023-04;1,7;-5,6;5,2;1,4;7,2
2023-05;0,9;-7,7;2,5;-0,8;6,1
2023-06;-0,1;-8,6;1,2;-0,9;6,4
2023-07;-2,0;-10,8;-2,9;-1,3;6,2
2023-08;-3,6;-12,9;-7,6;-1,3;6,1
2023-09;-2,6;-11,0;-9,1;-3,1;4,5
2023-10;-1,1;-9,5;-7,3;-3,5;3,8
2023-11;-1,2;-7,2;-5,0;-3,0;3,2
2023-12;-1,4;-7,0;-5,1;-2,3;3,7
2024-01;-1,3;-5,9;-4,4;-2,6;2,9
2024-02;-1,1;-4,9;-4,1;-2,7;2,5
2024-03;-1,0;-3,6;-2,9;-2,6;2,2
2024-04;-0,2;-1,7;-3,3;-1,8;2,2
2024-05;0,2;-0,4;-2,2;-0,7;2,4
2024-06;0,6;0,7;-1,6;-0,6;2,2
2024-07;0,8;0,9;-0,8;-0,1;2,3
2024-08;0,8;0,2;-0,8;-1,1;1,9
2024-09;0,4;-1,3;-1,4;-1,6;1,6
2024-10;0,6;-0,8;-1,1;-0,8;2,0
2024-11;;;0,1;-0,6;2,2
